web-scraper-order,web-scraper-start-url,months,months-href,title,date,venue
"1530567168-83","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Interacting Binary Stars","11 August 2018","Venue: SAAO"
"1530567161-38","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","October 2018","https://www.whatsonincapetown.com/category/2018/events-in-october-2018/","Daughtry Live in SA","25 October 2018","Venue: GrandWest Casino and Entertainment World"
"1530567168-81","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","After Dark: Majozi & Gemma Griffiths","29 August 2018","Venue: Two Oceans Aquarium"
"1530567137-2","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","April 2019","https://www.whatsonincapetown.com/category/2019/events-in-april-2019/","AfrikaBurn 2019","29 April 2019 to 5 May 2019","Venue: Tankwa Town, Karoo
 2019 details tbc"
"1530567161-37","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","October 2018","https://www.whatsonincapetown.com/category/2018/events-in-october-2018/","Cape Town Philharmonic Wind Quintet @ La Motte Wine Estate","20 October 2018","Venue: La Motte Wine Estate"
"1530567168-90","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Around The Fire","7 to 11 August 2018","Venue: Artscape"
"1530567153-15","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","December 2018","https://www.whatsonincapetown.com/category/2018/events-in-december-2018/","David Kramer’s ‘Langarm’","20 November 2018 to 6 January 2019","Venue: Fugard Theatre"
"1530567159-27","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","November 2018","https://www.whatsonincapetown.com/category/2018/events-in-november-2018/","Boogie’s Gonna Get Ya!","21 to 25 November 2018","Venue: Artscape Opera House"
"1530567163-42","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","50 Shades of Fairytales","8 August 2018 to 30 September 2018","Venue: Alexander Bar & Theatre"
"1530567161-34","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","October 2018","https://www.whatsonincapetown.com/category/2018/events-in-october-2018/","Calling Us Home","13 to 28 October 2018","Venue: Artscape"
